关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
000001,15.55亿元资金今日流出银行股,银行行业资金流向排名 代码 简称 今日涨跌幅（%） 今日换手率（%） 主力资金流量（万元） 600036 招商银行 -2.53 0.53 -55468.46 601398 工商银行 -2.08 0.18 -47843.47 601288 农业银行 -2.72 0.10 -24940.75 000001,2026-06-30 16:31:00,证券时报网,http://finance.eastmoney.com/a/202606303788361482.html
000001,中国金茂：非执行董事王葳辞任，杨列辉接任,杨列辉，1971年11月生，曾在中国进出口银行总行工作，2017年6月至2026年5月期间在平安银行（000001）先后担任交通金融事业部副总裁、派驻汽车生态事业部风险总监、总行授信审批部行业风险总监等多个职务，自2026年5月起加入中国平安人寿保险股份有限公司，任总部投资中心风险监控副总经理,2026-06-24 18:05:00,财中社,http://finance.eastmoney.com/a/202606243781535171.html
000001,7.31亿元资金今日流入银行股,1.02 0.24 9080.48 600926 杭州银行 0.61 0.68 8840.48 601288 农业银行 0.81 0.13 7354.38 601166 兴业银行 0.66 0.48 6022.02 600000 浦发银行 -0.34 0.20 4917.04 000001,2026-06-29 16:36:00,证券时报网,http://finance.eastmoney.com/a/202606293786684627.html
000001,ETF市场日报 | 创新药ETF涨逾8%领涨全场，科创半导体设备板块集体重挫逾9%,"明日上市： 华夏上证综合ETF(510140)将于2026年7月3日挂牌，上市份额21,523.05万份，跟踪上证综合指数（000001）。该指数样本空间为在上海证券交易所上市的股票和红筹企业发行的存托凭证，ST、*ST证券除外。",2026-07-02 15:37:04,界面新闻,http://finance.eastmoney.com/a/202607023791844192.html
000001,非执行董事也有KPI？重庆银行董事薪酬与履职“强关联”，不称职或领0元,如平安银行（000001.SZ）近日披露的薪酬管理制度显示，公司非执行董事不领取董事薪酬，独立董事领取的津贴由基本津贴、会议津贴等构成。,2026-06-30 20:01:46,界面新闻,http://finance.eastmoney.com/a/202606303788548898.html
000001,银行行业资金流出榜：农业银行等9股净流出资金超5000万元,0.55 -11873.81 601818 光大银行 -2.25 0.66 -8453.96 600000 浦发银行 -4.09 0.32 -7233.11 601658 邮储银行 -2.77 0.27 -5999.58 601009 南京银行 -3.13 0.53 -5787.28 000001,2026-06-24 16:50:00,证券时报网,http://finance.eastmoney.com/a/202606243781462536.html
000001,银行行业资金流入榜：工商银行、农业银行等净流入资金居前,上海银行 1.11 0.40 4198.11 601825 沪农商行 1.33 0.36 3958.13 601577 长沙银行 2.19 0.68 3667.95 600015 华夏银行 1.48 0.55 3574.74 601838 成都银行 1.85 0.64 3243.89 000001,2026-06-23 17:02:00,证券时报网,http://finance.eastmoney.com/a/202606233779783438.html
000001,*ST华幸：平安人寿提名杨列辉为非独立董事候选人,杨列辉，1971年出生，曾任平安银行（000001）交通金融事业部副总裁、平安银行派驻汽车生态事业部风险总监、平安银行总行授信审批部行业风险总监、平安银行总行风险管理部资深风险专家、副首席风险专家，现任平安人寿总部投资中心风险监控副总经理。,2026-06-17 19:17:00,财中社,http://finance.eastmoney.com/a/202606173774746488.html
000001,平安好医生：徐勤获委任首席财务官、董秘兼授权代表,徐勤，48岁，自2026年5月加入本公司并担任总经理助理，于2023年7月加入中国平安（601318/02318），还曾担任平安银行（000001）零售总监，法国兴业银行高级经理等职。,2026-06-16 16:53:00,财中社,http://finance.eastmoney.com/a/202606163773090830.html
000001,供应商提供“虚假材料”的8类典型情形,比如，浙财罚决字〔2025〕第000001号案中，经执法机关核查，供应商提供的李某某的成人高等教育本科学历毕业证书，经学信网查询，该编号证书为专科学历毕业证书，与标书申报的本科学历不符。,2026-06-27 07:30:00,中国政府采购报,http://finance.eastmoney.com/a/202606273785397940.html
